LGA,hhsize,totalvehs,hhinc,hhsize_normalised,totalvehs_normalised,hhinc_normalised,dwelltype_Flat or Apartment,dwelltype_Other,dwelltype_Separate House,dwelltype_Terrace/Townhouse,owndwell_Being Purchased,owndwell_Being Rented,owndwell_Fully Owned,owndwell_Occupied Rent-Free,owndwell_Something Else,label
Knox,2.0,1.0,1125.0,0.2,0.25,0.3763763763763763,0,0,1,0,0,1,0,0,0,0
PortPhillip,1.0,1.0,4000.0,0.0,0.25,0.9254254254254256,1,0,0,0,0,1,0,0,0,1
Hume,3.0,1.0,3500.0,0.4,0.25,0.8833833833833833,0,0,1,0,0,0,1,0,0,3
Knox,3.0,1.0,3625.0,0.4,0.25,0.8998998998998999,0,0,1,0,0,0,1,0,0,3
Casey,5.0,4.0,1225.0,0.8,1.0,0.4164164164164164,0,0,1,0,0,1,0,0,0,0
Whitehorse,2.0,1.0,800.0,0.2,0.25,0.2697697697697697,0,0,1,0,0,0,1,0,0,5
MorningtonPeninsula,4.0,2.0,350.0,0.6,0.5,0.0845845845845846,0,0,1,0,0,0,1,0,0,4
Monash,1.0,1.0,2875.0,0.0,0.25,0.8108108108108107,1,0,0,0,0,1,0,0,0,1
YarraRanges,1.0,0.0,2500.0,0.0,0.0,0.7347347347347347,0,0,1,0,1,0,0,0,0,6
Darebin,3.0,2.0,2500.0,0.4,0.5,0.7347347347347347,0,0,1,0,1,0,0,0,0,3
Melbourne,4.0,2.0,2500.0,0.6,0.5,0.7347347347347347,1,0,0,0,0,0,1,0,0,2
HobsonsBay,4.0,1.0,450.0,0.6,0.25,0.1131131131131131,0,0,1,0,0,1,0,0,0,0
Brimbank,3.0,1.0,100.0,0.4,0.25,0.0315315315315315,0,0,1,0,1,0,0,0,0,4
Wyndham,2.0,1.0,3250.0,0.2,0.25,0.8568568568568569,0,0,1,0,1,0,0,0,0,6
Bayside,2.0,1.0,2500.0,0.2,0.25,0.7347347347347347,1,0,0,0,0,1,0,0,0,1
YarraRanges,1.0,1.0,5150.0,0.0,0.25,0.9793126459793128,0,0,1,0,0,0,1,0,0,6
GreaterGeelong,1.0,1.0,1125.0,0.0,0.25,0.3763763763763763,0,0,1,0,1,0,0,0,0,5
PortPhillip,2.0,1.0,2500.0,0.2,0.25,0.7347347347347347,1,0,0,0,0,1,0,0,0,1
Casey,3.0,2.0,850.0,0.4,0.5,0.2757757757757758,0,0,1,0,0,0,1,0,0,4
GlenEira,2.0,1.0,1000.0,0.2,0.25,0.3373373373373373,1,0,0,0,0,1,0,0,0,1
MorningtonPeninsula,3.0,1.0,700.0,0.4,0.25,0.2247247247247247,0,0,1,0,0,1,0,0,0,0
GreaterGeelong,4.0,2.0,1375.0,0.6,0.5,0.4514514514514514,0,0,1,0,0,0,1,0,0,3
Bayside,1.0,1.0,2075.0,0.0,0.25,0.6446446446446445,0,0,1,0,1,0,0,0,0,5
Moreland,2.0,1.0,1575.0,0.2,0.25,0.498998998998999,1,0,0,0,1,0,0,0,0,2
GlenEira,4.0,2.0,2500.0,0.6,0.5,0.7347347347347347,0,0,1,0,1,0,0,0,0,3
HobsonsBay,1.0,1.0,2500.0,0.0,0.25,0.7347347347347347,0,0,1,0,0,0,1,0,0,6
Monash,4.0,2.0,1575.0,0.6,0.5,0.498998998998999,0,0,1,0,0,0,1,0,0,3
Maroondah,2.0,1.0,75.0,0.2,0.25,0.025025025025025,0,0,1,0,0,1,0,0,0,0
Darebin,2.0,0.0,700.0,0.2,0.0,0.2247247247247247,1,0,0,0,0,1,0,0,0,1
GlenEira,4.0,3.0,1225.0,0.6,0.75,0.4164164164164164,0,0,1,0,1,0,0,0,0,4
PortPhillip,1.0,1.0,1750.0,0.0,0.25,0.5565565565565566,1,0,0,0,0,0,1,0,0,2
Darebin,2.0,1.0,150.0,0.2,0.25,0.037037037037037,0,0,1,0,0,0,1,0,0,5
